country_code,country_name,year,capitalism_type,region,development_level,size_category,gdp,gdp_growth,gdp_per_capita,unemployment_rate,inflation_rate,population,wage_share,gini_coefficient,gov_spending_gdp,gov_debt_gdp,private_debt_gdp,financial_development_index,trade_openness,current_account_gdp,fdi_inflows_gdp,union_density,employment_protection,crisis_year
USA,United States,1970,LME,North America,Advanced,Large,4135.33,2.28,2.0,5.95,3.17,2067.66,58.45,0.384,36.61,40.17,76.15,0.58,32.22,-5.03,1.25,30.91,1.39,0
USA,United States,1971,LME,North America,Advanced,Large,4252.99,2.85,2.05,6.71,1.86,2078.0,60.54,0.384,34.7,39.6,91.51,0.477,27.61,-2.94,2.27,33.12,0.99,0
USA,United States,1972,LME,North America,Advanced,Large,4439.92,4.4,2.13,6.47,3.11,2088.39,60.83,0.385,34.49,37.66,93.37,0.559,27.15,-3.08,1.8,34.14,1.21,0
USA,United States,1973,LME,North America,Advanced,Large,4591.97,3.42,2.19,7.14,4.06,2098.84,59.87,0.381,32.46,36.66,92.11,0.528,28.74,-3.51,1.98,33.32,0.92,0
USA,United States,1974,LME,North America,Advanced,Large,4700.42,2.36,2.23,5.46,4.99,2109.33,59.39,0.387,36.93,36.61,91.96,0.53,38.8,-0.61,1.05,32.47,0.82,0
USA,United States,1975,LME,North America,Advanced,Large,4776.79,1.62,2.25,6.86,3.15,2119.88,56.64,0.4,37.31,37.21,94.56,0.614,33.33,-3.07,0.16,31.31,0.94,0
USA,United States,1976,LME,North America,Advanced,Large,4822.54,0.96,2.26,7.08,3.53,2130.48,56.96,0.386,36.15,38.37,84.66,0.617,29.45,-0.52,1.1,27.14,0.8,0
USA,United States,1977,LME,North America,Advanced,Large,4881.06,1.21,2.28,7.34,1.85,2141.13,57.59,0.392,36.56,39.3,88.23,0.485,29.06,-1.86,2.59,32.39,1.3,0
USA,United States,1978,LME,North America,Advanced,Large,5000.72,2.45,2.32,6.19,2.13,2151.83,59.62,0.396,40.56,39.11,86.46,0.574,37.72,3.29,0.97,29.07,1.24,0
USA,United States,1979,LME,North America,Advanced,Large,5107.35,2.13,2.36,6.34,4.73,2162.59,59.11,0.395,35.88,39.21,86.89,0.571,36.27,-3.04,1.19,28.7,1.17,0
USA,United States,1980,LME,North America,Advanced,Large,5207.8,1.97,2.4,6.59,4.54,2173.41,60.56,0.385,37.51,39.45,97.24,0.626,33.92,-3.24,2.03,30.72,0.77,0
USA,United States,1981,LME,North America,Advanced,Large,5350.92,2.75,2.45,6.66,3.5,2184.27,60.71,0.386,37.02,39.0,100.21,0.631,32.05,-1.87,2.72,29.2,0.6,0
USA,United States,1982,LME,North America,Advanced,Large,5503.65,2.85,2.51,6.67,1.29,2195.19,57.04,0.404,33.87,38.46,96.38,0.62,25.74,-0.93,1.97,25.53,0.95,0
USA,United States,1983,LME,North America,Advanced,Large,5552.49,0.89,2.52,5.97,1.92,2206.17,56.8,0.387,34.9,39.67,102.7,0.516,27.31,-2.04,0.88,27.49,1.02,0
USA,United States,1984,LME,North America,Advanced,Large,5480.63,-1.29,2.47,7.28,2.2,2217.2,55.32,0.408,34.38,42.83,119.22,0.521,31.84,-0.59,0.93,26.99,0.88,0
USA,United States,1985,LME,North America,Advanced,Large,5600.87,2.19,2.51,6.54,1.76,2228.29,55.77,0.38,34.64,42.79,110.01,0.715,30.35,-4.28,1.68,26.72,0.8,0
USA,United States,1986,LME,North America,Advanced,Large,5735.03,2.4,2.56,6.23,3.13,2239.43,57.03,0.4,32.07,42.57,121.48,0.637,35.74,-2.4,1.63,28.29,1.09,0
USA,United States,1987,LME,North America,Advanced,Large,5890.69,2.71,2.62,6.99,2.69,2250.63,57.74,0.401,34.21,42.06,108.17,0.653,30.46,-6.22,1.74,26.83,1.23,0
USA,United States,1988,LME,North America,Advanced,Large,6081.83,3.24,2.69,6.46,3.03,2261.88,59.72,0.415,35.63,41.07,104.69,0.71,35.14,0.25,2.61,21.89,1.21,0
